ID,Name,Description,Price,Category
1,Laptop,A high-end gaming laptop,1500,Electronics
2,T-Shirt,A cotton t-shirt with a print,20,Clothing
3,Apple,A fresh red apple,1,Food
4,Novel,A mystery novel by a famous author,15,Books
5,Headphones,Wireless noise-canceling headphones,300,Electronics
6,Jeans,Denim jeans with a slim fit,40,Clothing
7,Banana,A ripe yellow banana,0.5,Food
8,Dictionary,An English dictionary with over 2000 pages,25,Books
9,Smartphone,A latest model smartphone with advanced features,800,Electronics
10,Jacket,A waterproof jacket with hood,60,Clothing
11,Tablet,A 10-inch tablet with retina display,400,Electronics
12,Dress,A summer dress with floral print,50,Clothing
13,Orange,A juicy orange,0.8,Food
14,Textbook,A college-level textbook on mathematics,90,Books
15,Monitor,A 24-inch LED monitor,200,Electronics
16,Shoes,A pair of running shoes,70,Clothing
17,Bread,A loaf of whole grain bread,2,Food
18,Cookbook,A cookbook with vegan recipes,30,Books
19,Camera,A digital camera with 4K video recording,500,Electronics
20,Skirt,A knee-length skirt with pleats,35,Clothing
21,Milk,A gallon of organic milk,3,Food
22,Biography,A biography of a famous scientist,18,Books
23,Speaker,A Bluetooth speaker,100,Electronics
24,Hat,A straw hat with a wide brim,25,Clothing
25,Cheese,A block of cheddar cheese,5,Food
26,Fiction,A fiction novel set in a dystopian future,12,Books
27,Mouse,A wireless mouse,30,Electronics
28,Socks,A pack of athletic socks,10,Clothing
29,Yogurt,A cup of Greek yogurt,1.5,Food
30,Poetry,A collection of modern poetry,20,Books
31,TV,A 55-inch 4K smart TV,600,Electronics
32,Sweater,A wool sweater,45,Clothing
33,Chicken,A pound of chicken breasts,7,Food
34,Thriller,A thriller novel,14,Books
35,Keyboard,A mechanical keyboard,80,Electronics
36,Scarf,A silk scarf,20,Clothing
37,Carrot,A bunch of organic carrots,1.2,Food
38,Guide,A travel guidebook,22,Books
39,Router,A dual-band wireless router,120,Electronics
40,Pants,A pair of cargo pants,35,Clothing
41,Rice,A bag of basmati rice,15,Food
42,Anthology,An anthology of short stories,17,Books
43,Charger,A fast charging phone charger,25,Electronics
44,Blouse,A silk blouse,30,Clothing
45,Chocolate,A bar of dark chocolate,2,Food
46,Drama,A drama novel about family dynamics,18,Books
47,Watch,A smartwatch with fitness tracking,200,Electronics
48,Coat,A wool coat,70,Clothing
49,Lettuce,A head of romaine lettuce,1,Food
50,Magazine,A monthly fashion magazine,5,Books
51,Console,A gaming console,400,Electronics
52,Shorts,A pair of athletic shorts,20,Clothing
53,Steak,A pound of ribeye steak,15,Food
54,Comic,A comic book,8,Books
55,Headset,A gaming headset,100,Electronics
56,Belt,A leather belt,25,Clothing
57,Onion,A bag of yellow onions,2,Food
58,Memoir,A memoir by a famous actor,20,Books
59,Drone,A camera drone with HD video,300,Electronics
60,Gloves,A pair of winter gloves,15,Clothing
61,Tomato,A pound of heirloom tomatoes,3,Food
62,History,A history book about ancient Rome,25,Books
63,Printer,A color laser printer,150,Electronics
64,Tie,A silk tie,20,Clothing
65,Fish,A fillet of salmon,12,Food
66,Fantasy,A fantasy novel about dragons,14,Books
67,Flash Drive,A 64GB USB flash drive,15,Electronics
68,Jacket,A denim jacket,40,Clothing
69,Breadsticks,A pack of garlic breadsticks,4,Food
70,Manual,A user manual for a software package,10,Books
71,Power Bank,A portable power bank,35,Electronics
72,Sunglasses,A pair of polarized sunglasses,50,Clothing
73,Beans,A can of black beans,1,Food
74,Play,A script for a stage play,12,Books
75,Tablet Case,A protective case for a tablet,20,Electronics
76,Vest,A fleece vest,30,Clothing
77,Coffee,A bag of ground coffee,10,Food
78,Essay,A collection of personal essays,15,Books
79,TV Stand,A wooden TV stand,120,Electronics
80,Sneakers,A pair of sneakers,60,Clothing
81,Juice,A bottle of orange juice,3,Food
82,Novelty,A novelty item,5,Books
83,Speaker,A home theater speaker system,250,Electronics
84,Sweatsuit,A matching sweatsuit,40,Clothing
85,Pasta,A bag of penne pasta,2,Food
86,Thriller,A thriller novel,14,Books
87,Webcam,A 1080p HD webcam,70,Electronics
88,Pajamas,A pair of cotton pajamas,25,Clothing
89,Chips,A bag of potato chips,3,Food
90,Guide,A guidebook for bird watching,18,Books
91,Home Theater,A home theater system,500,Electronics
92,Blazer,A formal blazer,70,Clothing
93,Muffins,A pack of blueberry muffins,5,Food
94,Cookbook,A cookbook for baking,25,Books
95,Smartphone,A mid-range smartphone,300,Electronics
96,Trousers,A pair of formal trousers,50,Clothing
97,Grapes,A bunch of seedless grapes,4,Food
98,Mystery,A mystery novel set in a small town,15,Books
99,Monitor,A 27-inch 4K monitor,400,Electronics
100,Shirt,A button-up dress shirt,35,Clothing
101,Tablet Stand,A stand for holding tablets,15,Electronics
102,Shoes,Stylish summer shoes,45,Clothing
103,Apple Juice,A liter of fresh apple juice,4,Food
104,Comic Book,A comic book featuring superheroes,12,Books
105,Smartwatch,A smartwatch with health tracking,250,Electronics
106,Sunglasses,Polarized sunglasses with UV protection,30,Clothing
107,Chips,A bag of tortilla chips,3,Food
108,Art Book,A coffee table book of modern art,30,Books
109,Speaker,A portable Bluetooth speaker,50,Electronics
110,Winter Coat,A heavy winter coat with a fur collar,120,Clothing
111,Cheese,A wedge of Gouda cheese,6,Food
112,E-Book,An e-book about technology,10,Books
113,Gaming Mouse,An ergonomic gaming mouse,70,Electronics
114,Polo Shirt,A casual polo shirt,25,Clothing
115,Orange Juice,A carton of orange juice,5,Food
116,Science Fiction,A science fiction novel,14,Books
117,Air Purifier,A compact air purifier,150,Electronics
118,Sandals,A pair of comfortable sandals,20,Clothing
119,Yogurt,A pack of assorted Greek yogurt,3,Food
120,Biography,A biography of a famous political figure,20,Books
121,Drone Camera,A drone with a built-in camera,400,Electronics
122,Wool Sweater,A cozy wool sweater,55,Clothing
123,Spaghetti,A pack of spaghetti pasta,2,Food
124,Novel,A classic novel from the 19th century,18,Books
125,Bluetooth Earbuds,Wireless Bluetooth earbuds,60,Electronics
126,Jogging Pants,Comfortable jogging pants,30,Clothing
127,Milkshake,A vanilla milkshake,5,Food
128,Cookware Set,A set of non-stick cookware,100,Books
129,Smart TV,A smart TV with voice control,700,Electronics
130,Cardigan,A knitted cardigan,40,Clothing
131,Hot Sauce,A bottle of spicy hot sauce,4,Food
132,Cookbook,A cookbook featuring Italian recipes,25,Books
133,Action Camera,A waterproof action camera,250,Electronics
134,Blazer,A stylish blazer for formal occasions,80,Clothing
135,Cereal,A box of breakfast cereal,6,Food
136,Graphic Novel,A graphic novel about fantasy worlds,20,Books
137,Laptop Bag,A laptop bag with multiple compartments,40,Electronics
138,Hoodie,A comfortable hoodie,35,Clothing
139,Energy Drink,A can of energy drink,3,Food
140,Travel Book,A guidebook for world travel,22,Books
141,Wireless Charger,A wireless phone charger,30,Electronics
142,Dress Shoes,A pair of formal dress shoes,80,Clothing
143,Tea,A box of assorted herbal teas,8,Food
144,Self-Help,A self-help book on personal development,15,Books
145,Router,A high-speed wireless router,100,Electronics
146,Trousers,A pair of formal trousers,55,Clothing
147,Popcorn,A bag of popcorn for movie nights,4,Food
148,Cookbook,A baking cookbook with easy recipes,30,Books
149,Game Console,A new-generation gaming console,500,Electronics
150,Vest,A lightweight vest for summer,25,Clothing
151,Jam,A jar of strawberry jam,5,Food
152,Literary Fiction,A literary fiction novel,20,Books
153,Fitness Tracker,A wristband fitness tracker,80,Electronics
154,Skirt,A stylish skirt with floral design,30,Clothing
155,Salsa,A jar of salsa for dipping,6,Food
156,Historical Novel,A novel set in historical times,18,Books
157,Electric Kettle,An electric kettle for boiling water,40,Electronics
158,Swimwear,A set of swimwear for the beach,50,Clothing
159,Muffins,A pack of assorted muffins,7,Food
160,Fantasy Book,A book about magical worlds,12,Books
161,Smart Speaker,A smart speaker with voice assistant,100,Electronics
162,Belt,A leather belt with a classic buckle,25,Clothing
163,Pickles,A jar of dill pickles,4,Food
164,Anthology,A collection of short stories,18,Books
165,Mini Fridge,A small fridge for offices or dorms,200,Electronics
166,Raincoat,A waterproof raincoat,55,Clothing
167,Cookies,A pack of chocolate chip cookies,5,Food
168,Graphic Novel,A graphic novel featuring a superhero,22,Books
169,Gaming Chair,An ergonomic gaming chair,150,Electronics
170,Winter Boots,Insulated boots for winter,80,Clothing
171,Peanut Butter,A jar of creamy peanut butter,6,Food
172,Horror Novel,A horror novel for a thrilling read,14,Books
173,Highlighter,A set of colorful highlighters,10,Electronics
174,Yoga Mat,A mat for yoga and stretching exercises,25,Clothing
175,Apple Cider,A bottle of apple cider,4,Food
176,Encyclopedia,An encyclopedia set,80,Books
177,Docking Station,A docking station for laptops,120,Electronics
178,Casual Shoes,A pair of casual slip-on shoes,40,Clothing
179,Hot Chocolate,A box of hot chocolate mix,6,Food
180,Science Book,A book on popular science,25,Books
181,Desk Lamp,A LED desk lamp with adjustable brightness,30,Electronics
182,Beanie,A knitted beanie for cold weather,20,Clothing
183,Chips & Dip,A pack of chips with a dip,5,Food
184,Poetry Book,A book of classic poetry,15,Books
185,Fitness Band,A fitness band with heart rate monitor,70,Electronics
186,Long Sleeve Shirt,A long sleeve button-up shirt,35,Clothing
187,Granola,A bag of granola,8,Food
188,Romance Novel,A romantic novel,15,Books
189,Laptop Stand,An adjustable laptop stand,20,Electronics
190,Cargo Shorts,A pair of cargo shorts with pockets,30,Clothing
191,Instant Coffee,A jar of instant coffee,7,Food
192,Classic Novel,A classic novel by a renowned author,20,Books
193,Power Bank,A portable power bank,40,Electronics
194,Denim Jacket,A casual denim jacket,50,Clothing
195,Tea Set,A ceramic tea set with teapot and cups,75,Food
196,Cooking Utensils,A set of kitchen cooking utensils,25,Books
197,Portable Fan,A small portable fan,20,Electronics
198,Wool Socks,A pair of warm wool socks,15,Clothing
199,Energy Bar,A pack of energy bars,10,Food
200,Historical Fiction,A historical fiction novel,22,Books
201,Headphones,Noise-cancelling over-ear headphones,120,Electronics
202,Leather Jacket,A stylish leather jacket,150,Clothing
203,Organic Honey,A jar of organic raw honey,8,Food
204,Classic Fiction,A classic fiction novel by a famous author,22,Books
205,Tablet,A high-resolution tablet,350,Electronics
206,Sweatpants,Comfortable sweatpants,40,Clothing
207,Salad,A fresh garden salad,6,Food
208,Detective Novel,A detective novel with thrilling plot,16,Books
209,Gaming Headset,A gaming headset with surround sound,80,Electronics
210,Parka,A warm winter parka,100,Clothing
211,Peanut Butter,A jar of creamy peanut butter,5,Food
212,Fantasy Novel,A novel set in a fantasy world,20,Books
213,Wireless Earbuds,True wireless earbuds,70,Electronics
214,Denim Jeans,A pair of classic denim jeans,60,Clothing
215,Canned Soup,A can of hearty vegetable soup,4,Food
216,Historical Biography,A biography set in historical times,25,Books
217,Projector,A portable mini projector,150,Electronics
218,Cardigan Sweater,A lightweight cardigan sweater,35,Clothing
219,Smoothie Maker,A blender for making smoothies,80,Electronics
220,Pasta,A pack of whole wheat pasta,3,Food
221,Adventure Book,A book about thrilling adventures,18,Books
222,Drone,A drone with HD camera,300,Electronics
223,Running Shoes,Lightweight running shoes,60,Clothing
224,Sliced Bread,A loaf of sliced whole grain bread,3,Food
225,Travel Guide,A guidebook for exploring new destinations,20,Books
226,Smart Band,A fitness smart band with multiple features,55,Electronics
227,Winter Scarf,A warm winter scarf,25,Clothing
228,Spices,A set of mixed spices for cooking,10,Food
229,Classic Literature,A collection of classic literature,30,Books
230,Tablet Case,A protective case for tablets,15,Electronics
231,Knit Hat,A knitted hat for cold weather,20,Clothing
232,Nuts,A mix of assorted nuts,8,Food
233,Modern Novel,A contemporary novel with a gripping plot,22,Books
234,Home Theater System,A surround sound home theater system,500,Electronics
235,Casual Dress,A comfortable casual dress,45,Clothing
236,Instant Oatmeal,A pack of instant oatmeal,4,Food
237,Classic Mystery,A classic mystery novel,14,Books
238,Bluetooth Speaker,A portable Bluetooth speaker,40,Electronics
239,Wool Mittens,Warm wool mittens for winter,15,Clothing
240,Granola Bars,A pack of granola bars,6,Food
241,Romantic Fiction,A romantic fiction novel,18,Books
242,Noise Cancelling Headphones,Over-ear noise cancelling headphones,150,Electronics
243,Work Pants,Durable work pants,50,Clothing
244,Crackers,A box of assorted crackers,4,Food
245,Thriller Novel,A thriller novel with unexpected twists,20,Books
246,Electric Grill,A compact electric grill,100,Electronics
247,Wool Sweater,A cozy wool sweater for winter,70,Clothing
248,Energy Drinks,A pack of energy drinks,15,Food
249,Historical Novel,A novel set in a significant historical era,25,Books
250,Gaming Laptop,A high-performance gaming laptop,1200,Electronics
251,Tank Top,A casual tank top,20,Clothing
252,Fruit Basket,A basket of fresh seasonal fruits,15,Food
253,Science Fiction Book,A science fiction novel,18,Books
254,Wireless Charger,A wireless charger for phones,25,Electronics
255,Hiking Boots,Sturdy hiking boots for outdoor adventures,80,Clothing
256,Tomato Sauce,A jar of homemade tomato sauce,6,Food
257,Poetry Anthology,An anthology of classic poetry,20,Books
258,Bluetooth Headphones,Over-ear Bluetooth headphones,90,Electronics
259,Dress Shirt,A formal dress shirt,45,Clothing
260,Cereal Bars,A pack of assorted cereal bars,7,Food
261,Fantasy Fiction,A fantasy fiction novel,22,Books
262,Smart Home Hub,A hub for controlling smart home devices,150,Electronics
263,Leather Boots,Stylish leather boots,120,Clothing
264,Cheese Crackers,A pack of cheese-flavored crackers,5,Food
265,Young Adult Fiction,A young adult fiction novel,18,Books
266,Gaming Monitor,A high-refresh-rate gaming monitor,250,Electronics
267,Winter Jacket,A warm and insulated winter jacket,130,Clothing
268,Muesli,A pack of healthy muesli,6,Food
269,Classic Fantasy,A classic fantasy novel,20,Books
270,Power Adapter,A universal power adapter,20,Electronics
271,Blouse,A formal blouse,30,Clothing
272,Hot Sauce,A bottle of extra hot sauce,4,Food
273,Adventure Novel,A novel filled with thrilling adventures,20,Books
274,Noise Cancelling Earbuds,Noise cancelling in-ear earbuds,75,Electronics
275,Jogging Jacket,A lightweight jogging jacket,40,Clothing
276,Barbecue Sauce,A bottle of barbecue sauce,5,Food
277,Graphic Novel,A graphic novel with stunning illustrations,22,Books
278,Electric Toothbrush,A high-tech electric toothbrush,90,Electronics
279,Wool Blanket,A soft wool blanket for warmth,60,Clothing
280,Canned Beans,A can of baked beans,4,Food
281,Biography Book,A book about the life of a famous person,25,Books
282,High-Resolution Camera,A high-resolution digital camera,350,Electronics
283,Linen Shirt,A lightweight linen shirt,35,Clothing
284,Pancake Mix,A pack of pancake mix,5,Food
285,Historical Fiction Book,A book set in historical times,22,Books
286,Smart Plug,A smart plug for controlling devices,20,Electronics
287,Workout Gear,A set of workout gear,50,Clothing
288,Instant Noodles,A pack of instant noodles,4,Food
289,Literary Fiction Book,A novel of literary fiction,18,Books
290,Digital Thermometer,A digital thermometer for precise readings,25,Electronics
291,Casual Pants,A pair of comfortable casual pants,30,Clothing
292,Organic Chips,A pack of organic potato chips,5,Food
293,Science Fiction Novel,A novel set in a futuristic world,20,Books
294,Wireless Mouse,A wireless mouse for computers,30,Electronics
295,Winter Gloves,Warm gloves for winter,20,Clothing
296,Breakfast Cereal,A box of healthy breakfast cereal,6,Food
297,Travel Book,A book for travel enthusiasts,25,Books
298,Noise Cancelling Earphones,Over-ear noise cancelling earphones,130,Electronics
299,Fitness Tracker,A wearable fitness tracker,60,Clothing
300,Instant Coffee Pack,A pack of instant coffee,8,Food